материал_валка,номер_валка
Материал валка 5,456
Материал валка 4,457
Материал валка 8,458
Материал валка 5,459
Материал валка 2,460
Материал валка 9,461
Материал валка 1,462
Материал валка 6,463
Материал валка 6,464
Материал валка 2,465
Материал валка 2,466
Материал валка 2,467
Материал валка 7,468
Материал валка 23,469
Материал валка 1,470
Материал валка 5,471
Материал валка 2,472
Материал валка 1,473
Материал валка 1,474
Материал валка 1,475
Материал валка 5,476
Материал валка 1,477
Материал валка 1,478
Материал валка 2,479
Материал валка 5,480
Материал валка 6,481
Материал валка 2,482
Материал валка 2,483
Материал валка 6,484
Материал валка 6,485
Материал валка 2,486
Материал валка 2,487
Материал валка 2,488
Материал валка 4,489
Материал валка 2,490
Материал валка 3,491
Материал валка 2,492
Материал валка 2,493
Материал валка 4,494
Материал валка 17,495
Материал валка 2,496
Материал валка 1,497
Материал валка 2,498
Материал валка 5,499
Материал валка 6,500
